CASEID,acu3c,aprcu3c,asepcu3c,cu3rnkc,cu3_190,nsepevr,totclwc,agec,agedc,agegr10,agegr5,chh0014c,chrinhdc,chrtime6,famtype,hsdsizec,livarr12,marstat,multigen,prtypec,sex,sexpr,gu_110,gu_120,gu_130c,gu_150c,gu_170,gu_180,gu_190,gu_210,aclma1c,adivma1c,adthma1c,agema1c,aprma1c,asepma1c,ma1rnkc,ma1_150,ma1_165,ma1_170,ma1_220,ma1_230,wevermar,apardivc,aparsepc,achb1c,achdmpl,achd_1c,achj1c,chddecc,chdinftc,chdinptc,chdoutc,hhdchd1,hhdsta1,rci10_1,rci65_1,totchdc
    1,99.6,99.6,99.6,96,6,2,2,52,52.7,4, 8,0,0,1,6,1, 1, 6,2,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,25.9,96, 27,99.6,0,0,0,1,2,3,1,6, 1
    2,99.6,99.6,99.6,96,6,0,0,51,51.1,4, 8,0,0,1,1,2, 2, 1,2,1,1,2,1,2,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6, 8, 8,99.6,96, 33,22.7,0,0,2,3,2,3,2,6, 5
    3,99.6,99.6,99.6,96,6,0,0,63,63.6,5,10,0,0,1,1,2, 2, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,14,23.2,96, 40,99.6,2,0,0,3,2,3,2,6, 5
    4,99.6,99.6,99.6,96,6,0,0,80,80.0,7,14,0,0,1,1,2, 2, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,27.3,96, 56,99.6,0,0,0,1,2,3,2,6, 1
    5,99.6,99.6,99.6,96,6,1,2,28,28.0,2, 3,0,0,1,1,2, 2, 2,2,2,1,2,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,16,15,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
    6,99.6,99.6,99.6,96,6,0,0,63,63.0,5,10,0,0,1,1,2, 2, 1,2,1,2,1,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,6,96,96,25.8,96, 37,99.6,0,0,0,2,2,3,1,6, 2
    7,99.6,99.6,99.6,96,6,0,0,58,58.8,5, 9,0,0,1,6,1, 1, 6,2,0,2,0,1,2,6,6,7,6,2,2,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,5,96,97,18.3,96, 40,99.6,0,0,0,2,2,3,1,6, 2
    8,99.6,99.6,99.6,96,6,1,1,80,80.0,7,14,0,0,1,6,1, 1, 5,2,0,2,0,1,1,6,6,2,6,1,1,99.6,40.5,99.6,22.1,26.4,40.5, 1,2,1,1,6,2,4,96,96,22.9,96, 59,99.6,2,0,0,5,2,3,1,6, 7
    9,99.6,99.6,99.6,96,6,0,0,63,63.8,5,10,0,0,1,6,1, 1, 6,2,0,2,0,1,1,6,6,2,6,1,1,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,4,96,96,99.6,96,996,99.6,6,6,6,6,6,6,6,6, 0
   10,99.6,99.6,99.6,96,6,2,2,25,25.2,2, 3,0,0,1,5,6,11, 6,2,0,1,0,3,6,1,6,2,6,6,2,99.6,99.6,99.6,99.6,99.6,99.6,96,6,6,6,6,6,3,96,96,21.3, 4,  4,99.6,0,0,1,0,2,2,1,1, 1
